Player,start,end,ppg,apg,rpg,spg,bpg
Kyle Guy,2020,2022,3.11,0.94,1,0.25,0.02
AJ Guyton,2001,2003,5.53,1.84,1,0.25,0.15
Rui Hachimura,2020,2023,12.68,1.32,4.99,0.6,0.22
Rudy Hackett,1976,1977,5.54,1.11,3.25,0.54,0.32
Hamed Haddadi,2009,2013,2.25,0.28,2.46,0.07,0.61
Jim Hadnot,1968,1968,17.45,1.75,12.16,0,0
Scott Haffner,1990,1991,4.26,1.78,1.1,0.32,0.06
Cliff Hagan,1957,1970,17.72,3.15,6.62,0,0
Glenn Hagan,1982,1982,1.75,2,1,0.75,0
Tom Hagan,1970,1971,4.9,1.85,1.55,0,0
Ashton Hagans,2021,2021,0,0,0,0,0
Robert Hahn,1950,1950,1,0.1,0,0,0
Al Hairston,1969,1970,2.17,1.05,0.98,0,0
Happy Hairston,1965,1975,14.83,1.63,10.33,0.77,0.19
Lindsay Hairston,1976,1976,5.81,0.45,3.81,0.45,0.68
Malik Hairston,2009,2010,2.4,0.47,1.24,0.16,0.26
PJ Hairston,2015,2016,5.98,0.53,2.4,0.48,0.22
Marcus Haislip,2003,2010,3.49,0.18,1.47,0.17,0.38
Chick Halbert,1947,1951,8.82,1.45,7.93,0,0
Swede Halbrook,1961,1962,5.5,0.45,6.64,0,0
Bruce Hale,1949,1951,9.13,2.99,1.88,0,0
Hal Hale,1968,1968,5.01,2,2.86,0,0
Jack Haley,1989,1998,3.46,0.24,2.7,0.18,0.14
Tyrese Haliburton,2021,2023,16.16,7.94,3.61,1.59,0.53
Shaler Halimon,1969,1973,6.24,1.67,3.07,0,0
Devon Hall,2020,2020,1.82,1.18,0.64,0.36,0.09
Donta Hall,2020,2021,5.09,0.68,4.55,0.36,0.73
Jordan Hall,2023,2023,3.11,1.22,1.33,0.11,0
Josh Hall,2021,2021,4.1,1.33,2.81,0.19,0.05
Mike Hall,2007,2007,1,0.5,1,0,0
Tyler Hall,2022,2022,0,0,0,0,0
Jeff Halliburton,1972,1973,6.11,1.26,1.58,0,0
Darvin Ham,1997,2005,2.73,0.55,2.31,0.33,0.37
Steve Hamer,1997,1997,2.17,0.2,1.71,0.06,0.11
Dale Hamilton,1950,1950,1.79,1.21,0,0,0
Daniel Hamilton,2018,2019,2.76,1.2,2.08,0.28,0.04
Dennis Hamilton,1968,1971,4.56,0.78,3.07,0,0
Joe Hamilton,1971,1976,12.05,3.51,2.57,0.93,0.05
Jordan Hamilton,2012,2016,5.89,0.84,2.84,0.48,0.23
Justin Hamilton,2014,2017,6.08,0.81,3.57,0.54,0.65
Ralph Hamilton,1949,1949,6.02,1.73,0,0,0
Richard Hamilton,2000,2013,17.06,3.39,3.1,0.78,0.14
Roy Hamilton,1980,1981,4.6,2.63,1.51,0.66,0.07
Steve Hamilton,1959,1960,4.49,0.52,3.39,0,0
Tang Hamilton,2002,2002,2.22,0.56,2,0.44,0
Thomas Hamilton,1996,2000,3.24,0.48,3.39,0.12,0.7
Zendon Hamilton,2001,2006,4.37,0.25,3.46,0.29,0.21
Geert Hammink,1994,1996,1.75,0.25,0.88,0,0
Julian Hammond,1968,1972,10.78,1.28,6.19,0,0
Tom Hammonds,1990,2001,5.26,0.55,3.26,0.24,0.2
AJ Hammons,2017,2017,2.18,0.18,1.64,0.05,0.59
Joe Hamood,1968,1968,9.87,2.99,2.86,0,0
RJ Hampton,2021,2023,7.01,1.91,2.88,0.57,0.18
Darrin Hancock,1995,1997,3.51,0.67,1.27,0.42,0.08
Ben Handlogten,2004,2005,4.29,0.5,3.16,0.26,0.24
Cecil Hankins,1947,1948,4.92,0.28,0,0,0
Phil Hankinson,1974,1975,3.94,0.19,1.84,0.13,0.03
Dusty Hannahs,2019,2020,5,1.25,0.5,0.25,0
Alex Hannum,1950,1957,5.97,1.66,4.45,0,0
Don Hanrahan,1953,1953,1.83,0.61,1.67,0,0
Rollen Hans,1954,1955,6.95,2.59,2.2,0,0
Ben Hansbrough,2013,2013,2.04,0.75,0.64,0.25,0.07
Tyler Hansbrough,2010,2016,6.73,0.42,4.22,0.48,0.21
Bob Hansen,1984,1992,6.87,1.65,2.23,0.62,0.09
Glenn Hansen,1976,1978,5.25,0.83,2.21,0.54,0.14
Lars Hansen,1979,1979,5.07,0.93,3.93,0.07,0.07
Travis Hansen,2004,2004,3,0.46,1.71,0.24,0.22
Reggie Hanson,1998,1998,0.75,0.12,0.75,0.25,0.12
Bill Hanzlik,1981,1990,7.24,2.75,2.75,0.97,0.27
Luke Harangody,2011,2012,3.61,0.51,2.8,0.3,0.29
Anfernee Hardaway,1994,2008,15.18,5.01,4.47,1.6,0.44
Tim Hardaway,1990,2003,17.73,8.18,3.29,1.65,0.15
Tim Hardaway Jr,2014,2023,13.93,1.86,2.89,0.63,0.14
James Harden,2010,2023,24.75,7,5.66,1.52,0.54
Reggie Harding,1964,1968,9.46,1.72,9.56,0,0
Charlie Hardnett,1963,1965,7.3,0.63,5.67,0,0
Alan Hardy,1981,1982,3.22,0.38,0.88,0.17,0.22
Darrell Hardy,1968,1968,5.24,0.47,3.29,0,0
Jaden Hardy,2023,2023,7.86,1.05,1.59,0.3,0.11
James Hardy,1979,1982,5.66,1.27,5.27,0.71,0.94
Ira Harge,1968,1973,10.3,1.72,11.6,0,0
John Hargis,1950,1951,8.61,1.43,2.28,0,0
Maurice Harkless,2013,2022,6.86,0.92,3.54,0.94,0.64
Jerry Harkness,1964,1969,7.19,1.81,2.71,0,0
Skip Harlicka,1969,1969,4.08,1.42,0.62,0,0
Jerome Harmon,1995,1995,4.6,1.2,2.3,0.9,0
Derek Harper,1984,1999,13.35,5.49,2.41,1.63,0.25
Jared Harper,2020,2022,2.62,0.94,0.25,0.25,0.06
Justin Harper,2012,2017,2.05,0.18,0.82,0.14,0.14
Mike Harper,1981,1982,4.98,0.58,3.51,0.63,0.83
Ron Harper,1987,2001,13.79,3.88,4.27,1.7,0.72
Ron Harper Jr,2023,2023,2.5,0,0.5,0,0
Matt Harpring,1999,2009,11.5,1.36,5.06,0.75,0.17
Montrezl Harrell,2016,2023,12.15,1.32,5.05,0.53,0.79
Josh Harrellson,2012,2014,3.53,0.35,3.03,0.4,0.48
Adam Harrington,2003,2003,1.58,0.63,0.42,0.11,0.05
Al Harrington,1999,2014,13.49,1.68,5.59,0.87,0.25
Junior Harrington,2003,2007,5.24,3.06,2.72,0.9,0.18
Othella Harrington,1997,2008,7.35,0.62,4.41,0.26,0.4
Art Harris,1969,1972,9.12,2.68,2.42,0,0
Bernie Harris,1975,1975,0.45,0.09,0.73,0,0.09
Billy Harris,1975,1975,8.01,1.46,1.61,0.72,0.08
Bob Harris,1950,1954,6.8,1.54,6.94,0,0
Chris Harris,1956,1956,2.46,1.07,1.07,0,0
Devin Harris,2005,2019,10.76,3.93,2.18,1.01,0.2
Elias Harris,2014,2014,0,0.5,0.5,0.5,0
Gary Harris,2015,2023,11.53,2,2.45,1.15,0.21
Jalen Harris,2021,2021,7.38,1.31,1.38,0.62,0
Joe Harris,2015,2023,10.63,1.61,3.12,0.49,0.19
Kevon Harris,2023,2023,3.41,0.45,1.9,0.52,0.1
Lucious Harris,1994,2005,7.23,1.41,2.33,0.69,0.11
Manny Harris,2011,2017,6.18,1.39,2.72,0.52,0.15
Mike Harris,2008,2014,3.39,0.22,2.15,0.5,0.22
Steve Harris,1986,1990,6.96,1.15,1.76,0.56,0.14
Terrel Harris,2012,2013,2.26,0.83,1.83,0.26,0.12
Tobias Harris,2012,2023,16.23,2.31,6.16,0.76,0.53
Tony Harris,1991,1995,4.86,0.57,0.79,0.36,0
Aaron Harrison,2016,2018,2.26,0.46,1.2,0.43,0.06
Andrew Harrison,2017,2019,6.98,2.75,1.98,0.66,0.34
Bob Harrison,1950,1958,7.18,2.72,2.47,0,0
David Harrison,2005,2008,5.02,0.25,2.9,0.34,0.98
Shaquille Harrison,2018,2022,5.21,1.55,2.41,0.95,0.35
Jason Hart,2001,2010,4.76,2.27,1.66,0.74,0.1
Josh Hart,2018,2023,9.87,2.41,6.15,0.96,0.33
Isaiah Hartenstein,2019,2023,5.52,1.34,4.76,0.54,0.82
Antonio Harvey,1994,2003,2.96,0.31,2.32,0.29,0.7
Donnell Harvey,2001,2005,5.61,0.79,4.03,0.47,0.39
Scott Haskin,1994,1994,2.04,0.22,2.04,0.07,0.56
Clem Haskins,1968,1976,12.84,3.5,3.06,0.62,0.15
Udonis Haslem,2004,2023,7.47,0.83,6.59,0.48,0.29
Trenton Hassell,2002,2010,5.81,1.76,2.84,0.44,0.42
Billy Hassett,1950,1951,4.45,2.02,1.1,0,0
Joe Hassett,1978,1983,5.9,1.32,1.05,0.43,0.06
Scott Hastings,1983,1993,2.85,0.49,2.23,0.28,0.26
Kirk Haston,2002,2003,1.19,0.3,1,0,0.22
Vern Hatton,1959,1962,5.53,1.38,2.36,0,0
Sam Hauser,2022,2023,5.15,0.65,2.12,0.25,0.22
John Havlicek,1963,1978,20.78,4.81,6.3,1.21,0.3
Spencer Hawes,2008,2017,8.67,1.86,5.69,0.39,0.95
Steve Hawes,1975,1984,8.38,1.87,6.21,0.75,0.46
Bubbles Hawkins,1976,1979,12.75,1.46,2.33,1.11,0.46
Connie Hawkins,1968,1976,18.71,4.15,8.85,1.24,0.77
Hersey Hawkins,1989,2001,14.72,2.91,3.62,1.65,0.31
Juaquin Hawkins,2003,2003,2.31,0.81,1.34,0.5,0.1
Marshall Hawkins,1950,1950,3.9,1.31,0,0,0
Michael Hawkins,1997,2001,1.76,1.56,0.91,0.28,0.03
Tom Hawkins,1960,1969,8.73,1.14,6.03,0,0
Nate Hawthorne,1974,1976,5.44,0.67,2.06,0.44,0.26
Chuck Hayes,2006,2016,3.74,1.21,5.04,0.74,0.37
Elvin Hayes,1969,1984,20.96,1.84,12.49,0.97,1.98
Jarvis Hayes,2004,2010,8.32,1.07,3.11,0.73,0.13
Jaxson Hayes,2020,2023,7.65,0.71,4.06,0.44,0.71
Jim Hayes,1971,1971,3.06,1,0.96,0,0
Killian Hayes,2021,2023,7.99,5.17,2.9,1.24,0.44
Nigel Hayes,2018,2018,3,0.67,2.44,0.22,0.33
Steve Hayes,1982,1986,2.57,0.4,2.48,0.15,0.48
Gordon Hayward,2011,2023,15.52,3.54,4.49,0.98,0.39
Lazar Hayward,2011,2013,2.88,0.49,1.25,0.24,0.11
Brendan Haywood,2002,2015,6.79,0.54,5.97,0.39,1.36
Spencer Haywood,1970,1983,20.27,1.83,10.28,0.62,1.09
John Hazen,1949,1949,3,0.5,0,0,0
Walt Hazzard,1965,1974,Error,Error,Error,Error,Error
Luther Head,2006,2011,8.17,2.15,2.43,0.73,0.12
Shane Heal,1997,2004,1.98,0.78,0.45,0.08,0.06
Brian Heaney,1970,1970,2,0.43,0.29,0,0
Gar Heard,1971,1981,8.68,1.55,7.47,1.34,1.34
Reggie Hearn,2018,2018,1,0,0,0,0
Herm Hedderick,1955,1955,0.8,0.4,0.8,0,0
Alvin Heggs,1996,1996,2,0,0.5,0,0
Tom Heinsohn,1957,1965,18.65,2.02,8.79,0,0
Dick Hemric,1956,1957,6.25,0.74,5.09,0,0
Alan Henderson,1996,2007,7.81,0.61,4.98,0.56,0.46
Cedric Henderson,1987,1987,1.38,0,1,0,0
Cedric Henderson,1998,2002,7.25,1.61,2.9,0.88,0.43
Dave Henderson,1988,1988,5.73,1.55,1.59,0.55,0.23
Gerald Henderson,1980,1992,8.92,3.61,1.67,1.08,0.11
Gerald Henderson,2010,2017,11.19,1.89,3.21,0.67,0.34
JR Henderson,1999,1999,3.23,0.73,1.57,0.3,0.13
Jerome Henderson,1986,1987,2.29,0,1.14,0.14,0.14
Kevin Henderson,1987,1988,2.95,1.55,1.09,0.41,0
Tom Henderson,1975,1983,9.37,4.82,2.3,1.17,0.12
Mark Hendrickson,1997,2000,3.34,0.55,2.77,0.44,0.13
Larry Hennessy,1956,1957,4.47,0.99,1.27,0,0
Don Henriksen,1953,1955,7.17,1.74,7.17,0,0
Aaron Henry,2022,2022,0.33,0,0.17,0,0.33
Al Henry,1971,1972,3.96,0.16,3.02,0,0
Bill Henry,1949,1950,6.45,1.08,0,0,0
Carl Henry,1986,1986,2.79,0.14,0.68,0.18,0
Conner Henry,1987,1988,3.28,1.1,0.89,0.23,0.06
Myke Henry,2018,2018,5.35,1.1,1.9,1.55,0.3
Skeeter Henry,1994,1994,1,1,0.5,0,0
Xavier Henry,2011,2015,5.68,0.65,1.9,0.54,0.12
John Henson,2013,2020,7.6,1.11,5.32,0.47,1.44
Steve Henson,1991,1999,3.11,1.95,0.74,0.37,0.01
Charlie Hentz,1971,1971,5.98,0.54,6.77,0,0
Bill Herman,1950,1950,4.31,1.15,0,0,0
Kleggie Hermsen,1947,1953,9.27,1.27,5.77,0,0
Dewan Hernandez,2020,2020,2.33,0.5,2.33,0.17,0
Juancho Hernangomez,2017,2023,5.05,0.64,3.34,0.39,0.21
Willy Hernangomez,2017,2023,7.39,1.07,5.8,0.42,0.39
Chris Herren,2000,2001,3.2,2.39,1.04,0.41,0.03
Carl Herrera,1992,1999,5.34,0.56,3.63,0.51,0.44
Walter Herrmann,2007,2009,5.39,0.43,2.1,0.2,0.08
Tyler Herro,2020,2023,17.59,3.51,4.93,0.68,0.21
Keith Herron,1979,1982,9.83,1.4,1.95,0.85,0.24
Sonny Hertzberg,1947,1951,8.75,2.11,4,0,0
Kevin Hervey,2020,2020,1.7,0.5,1.2,0.1,0.1
Dan Hester,1971,1971,5.9,0.83,5.57,0,0
Fred Hetzel,1966,1971,11.2,1.11,5.88,0,0
Bill Hewitt,1969,1975,5.71,1.3,5.52,0.5,0.56
Jack Hewson,1948,1948,2.71,0.04,0,0,0
Art Heyman,1964,1970,13,2.79,4.71,0,0
Mario Hezonja,2016,2020,6.92,1.26,3.11,0.74,0.24
Roy Hibbert,2009,2017,9.99,1.34,6.3,0.36,1.73
Nat Hickey,1948,1948,1,0,0,0,0
Isaiah Hicks,2018,2019,4.38,0.86,2.29,0.14,0.33
Phil Hicks,1977,1979,2.32,0.56,1.65,0.23,0
JJ Hickson,2009,2016,9.51,0.84,6.81,0.51,0.58
Buddy Hield,2017,2023,16.1,2.55,4.38,0.87,0.29
Bill Higgins,1975,1975,9.2,2.13,1.4,0.53,0.07
Cory Higgins,2012,2013,3.73,0.93,0.86,0.18,0.14
Earle Higgins,1971,1971,4.36,0.66,2.42,0,0
Mike Higgins,1990,1991,1.67,0.28,0.5,0.11,0.22
Rod Higgins,1983,1995,9,1.61,3.62,0.62,0.46
Sean Higgins,1991,1998,6.25,1.03,1.83,0.33,0.15
Kenny Higgs,1979,1982,6.81,4.37,1.81,1.11,0.11
Johnny High,1980,1984,5.09,1.92,2.25,1.19,0.31
Haywood Highsmith,2019,2023,3.8,0.59,2.82,0.52,0.25
Wayne Hightower,1963,1972,11.62,1.7,7.02,0,0
Nene,2003,2019,11.3,1.78,6.04,1.08,0.75
Armond Hill,1977,1984,6.87,4.69,1.96,1.17,0.13
Cleo Hill,1962,1962,5.52,1.97,3.07,0,0
Gary Hill,1964,1965,4.68,1.39,1.65,0,0
George Hill,2009,2023,10.46,3.07,2.99,0.88,0.26
Grant Hill,1995,2013,16.7,4.14,6.01,1.22,0.56
Jordan Hill,2010,2017,7.9,0.79,5.84,0.37,0.67
Malcolm Hill,2022,2023,3.21,0.33,1.58,0.29,0.12
Simmie Hill,1970,1974,9.72,1.33,5.28,0.22,0.27
Solomon Hill,2014,2022,5.48,1.48,3.12,0.69,0.22
Steven Hill,2009,2009,2,0,3,0,0
Tyrone Hill,1991,2004,9.4,0.81,8.56,0.77,0.47
Art Hillhouse,1947,1948,5.89,0.62,0,0,0
Darrun Hilliard,2016,2018,3.24,0.78,0.93,0.24,0.03
Darnell Hillman,1972,1980,9.77,1.4,7.61,0.86,1.28
Fred Hilton,1972,1973,9.43,1.58,2.12,0,0
Kirk Hinrich,2004,2016,10.91,4.83,2.93,1.11,0.28
Roy Hinson,1984,1991,14.21,0.98,6.81,0.6,1.74
Nate Hinton,2021,2022,1.78,0.35,0.39,0.3,0.09
Mel Hirsch,1947,1947,1.46,0.77,0,0,0
Lew Hitch,1952,1957,5.01,1.21,5.27,0,0
Robert Hite,2007,2007,4.25,0.67,1.33,0.25,0.17
Jaylen Hoard,2020,2022,6.59,1.15,4.64,0.62,0.26
Darington Hobson,2012,2012,0.8,1.2,0.6,0,0
Donald Hodge,1992,1996,4.75,0.77,3.25,0.34,0.38
Julius Hodge,2006,2007,1.22,0.78,0.65,0.26,0
Craig Hodges,1983,1992,8.55,2.55,1.35,0.8,0.04
Charlie Hoefer,1947,1948,5.55,0.55,0,0,0
Paul Hoffman,1948,1955,10.2,2.87,5.13,0,0
Bob Hogsett,1967,1968,1.85,0.1,1.3,0,0
Paul Hogue,1963,1964,6.29,0.74,7.09,0,0
Fred Hoiberg,1996,2005,5.44,1.56,2.66,0.79,0.11
Doug Holcomb,1949,1949,5,1.67,0,0,0
Randy Holcomb,2006,2006,0.5,0,0.25,0,0
Aaron Holiday,2019,2023,6.72,2.19,1.67,0.64,0.2
Jrue Holiday,2010,2023,16.4,6.46,4.08,1.49,0.51
Justin Holiday,2013,2023,8.43,1.46,2.83,0.93,0.44
Brad Holland,1980,1982,3.15,0.68,0.63,0.51,0.03
Joe Holland,1950,1952,5.83,1.76,4.18,0,0
John Holland,2018,2019,2.16,0.2,0.96,0.28,0.08
Wilbur Holland,1976,1979,13.62,3.34,3.05,1.72,0.16
Lionel Hollins,1976,1985,11.6,4.47,2.38,1.56,0.29
Ryan Hollins,2007,2016,3.69,0.29,2.2,0.18,0.52
Essie Hollis,1979,1979,2.76,0.24,1.8,0.44,0.04
Rondae HollisJefferson,2016,2021,9.05,1.9,5.52,0.91,0.53
Dennis Holman,1968,1968,3.83,1.59,1.7,0,0
Richaun Holmes,2016,2023,9.04,0.99,5.45,0.54,0.99
Jim Holstein,1953,1956,3.82,1.11,2.93,0,0
AW Holt,1971,1971,0.67,0,0.67,0,0
Michael Holton,1985,1990,6.2,3.01,1.41,0.64,0.09
Dick Holub,1948,1948,10.5,0.77,0,0,0
Joe Holup,1957,1959,7.02,1.01,4.44,0,0
Red Holzman,1949,1954,6.05,2.01,1.5,0,0
Jerald Honeycutt,1998,1999,5.09,0.67,1.94,0.46,0.15
Tyler Honeycutt,2012,2013,1.17,0.38,1,0.17,0.17
Derek Hood,2000,2000,0,0,0.5,0,0
Rodney Hood,2015,2022,10.39,1.64,2.59,0.67,0.18
Bobby Hooper,1969,1969,5.02,2.63,2.02,0,0
Carroll Hooser,1968,1968,5.64,0.52,3.86,0,0
Tom Hoover,1964,1969,5.88,1.06,6.22,0,0
Bob Hopkins,1957,1960,8.19,0.69,5.59,0,0
Dave Hoppen,1988,1993,4.95,0.59,3.83,0.25,0.17
Dennis Hopson,1988,1992,10.88,1.61,2.81,0.96,0.48
Scotty Hopson,2014,2022,1.5,0.75,0.25,0.25,0
Johnny Horan,1956,1956,1.79,0.11,0.53,0,0
Cedrick Hordges,1981,1982,7.58,1.17,5.88,0.41,0.26
Al Horford,2008,2023,13.46,3.29,8.07,0.78,1.17
Tito Horford,1989,1994,1.48,0.08,1.33,0.11,0.41
Ron Horn,1962,1968,2.47,0.34,2.44,0,0
Jeff Hornacek,1987,2000,14.54,4.9,3.39,1.43,0.21
Dennis Horner,2012,2012,0.62,0,0.62,0,0
Robert Horry,1993,2008,6.97,2.12,4.76,1.05,0.93
Ed Horton,1990,1990,4.49,0.42,2.4,0.2,0.11
Talen HortonTucker,2020,2023,9.26,2.86,2.86,0.89,0.42
Bill Hosket,1969,1972,4.01,0.66,2.48,0,0
Bob Houbregs,1954,1958,9.29,1.78,5.52,0,0
Danuel House Jr,2017,2023,7.76,1.18,3.21,0.58,0.37
Eddie House,2001,2011,7.47,1.55,1.71,0.66,0.08
Caleb Houstan,2023,2023,3.73,0.46,2.05,0.2,0.07
Allan Houston,1994,2005,17.34,2.37,2.9,0.67,0.17
Byron Houston,1993,1996,3.9,0.53,3.03,0.48,0.4
Tom Hovasse,1995,1995,0,0,0,0.5,0
Brian Howard,1992,1993,6,0.85,2.77,0.69,0.44
Dwight Howard,2005,2022,15.69,1.35,11.78,0.87,1.79
Greg Howard,1971,1972,3.39,0.58,2.47,0,0
Josh Howard,2004,2013,14.34,1.61,5.69,1.05,0.54
Juwan Howard,1995,2013,13.38,2.2,6.15,0.68,0.26
Markus Howard,2021,2022,3.4,0.37,0.49,0.19,0.01
Mo Howard,1977,1977,4.75,1.31,1.22,0.53,0.25
Otis Howard,1979,1979,4.21,0.36,2.93,0.14,0.14
Stephen Howard,1993,1998,2.8,0.21,1.44,0.32,0.23
William Howard,2020,2020,0,0.5,1,0,0
Bailey Howell,1960,1971,18.71,1.95,9.88,0,0
Bob Hubbard,1948,1949,3.61,0.47,0,0,0
Phil Hubbard,1980,1989,10.87,1.29,5.32,0.86,0.13
Trevor Hudgins,2023,2023,1.8,0.6,0,0,0
Lester Hudson,2010,2015,4.7,1.25,1.35,0.56,0.14
Lou Hudson,1967,1979,20.16,2.73,4.41,1.38,0.26
Troy Hudson,1998,2008,8.97,3.38,1.7,0.53,0.06
Marcelo Huertas,2016,2017,3.95,3.08,1.5,0.47,0.12
Kevin Huerter,2019,2023,12.1,3.13,3.44,0.95,0.34
Josh Huestis,2016,2018,2.46,0.3,2.37,0.21,0.63
Jay Huff,2022,2023,0.83,0.17,1.17,0.17,0.17
Nate Huffman,2003,2003,3.29,0.71,3.29,0.14,0.43
Alfredrick Hughes,1986,1986,5.24,0.9,1.66,0.38,0.07
Eddie Hughes,1988,1990,3.05,1.64,0.96,0.67,0.03
Elijah Hughes,2021,2022,2.91,0.52,1.24,0.28,0.17
Kim Hughes,1976,1981,3.82,0.88,5.57,0.99,1.18
Larry Hughes,1999,2012,14.09,3.15,4.18,1.5,0.35
Rick Hughes,2000,2000,3.9,0.43,2.33,0.14,0.05
Robbie Hummel,2014,2015,3.87,0.51,2.71,0.33,0.11
John Hummer,1971,1976,6.87,1.66,5.3,0.34,0.3
Ryan Humphrey,2003,2005,2.32,0.21,2.22,0.24,0.22
Isaac Humphries,2019,2019,3,0,2.2,0.2,0
Jay Humphries,1985,1995,11.13,5.51,2.54,1.46,0.11
Kris Humphries,2005,2017,6.69,0.69,5.39,0.41,0.57
Hot Hot Rod Hundley,1958,1963,8.41,3.38,3.29,0,0
Feron Hunt,2022,2022,0,0.5,0.5,0.5,0
Brandon Hunter,2004,2005,3.28,0.33,2.79,0.25,0.12
Cedric Hunter,1992,1992,0,0,0,0,0
Chris Hunter,2010,2010,4.5,0.62,2.78,0.22,0.58
De'Andre Hunter,2020,2023,13.91,1.55,4.14,0.65,0.34
Les Hunter,1965,1973,12.25,1.61,6.89,0,0
Lindsey Hunter,1994,2010,8.49,2.67,2.16,1.2,0.18
Othello Hunter,2009,2010,1.43,0.04,1.57,0.09,0.26
RJ Hunter,2016,2019,2.96,0.42,1.02,0.4,0.09
Steven Hunter,2002,2010,4.54,0.2,3.16,0.12,1.05
Vince Hunter,2018,2018,1.5,0,0.75,0,0.25
Bobby Hurley,1994,1998,3.84,3.27,1.05,0.45,0.03
Roy Hurley,1947,1947,5.2,0.74,0,0,0
Geoff Huston,1980,1987,8.83,5.06,1.38,0.67,0.06
Paul Huston,1948,1948,3.57,0.59,0,0,0
Mel Hutchins,1952,1958,11.1,2.97,9.58,0,0
Chandler Hutchison,2019,2022,5.42,0.77,3.65,0.6,0.17
Joe Hutton,1951,1952,2.52,0.96,1.56,0,0
Greg Hyder,1971,1971,5.42,0.62,4.31,0,0
Bones Hyland,2022,2023,10.7,2.79,2.52,0.62,0.28
Marc Iavaroni,1983,1989,4.38,0.97,3.25,0.35,0.38
Serge Ibaka,2010,2023,12,0.82,7.09,0.41,1.91
Andre Iguodala,2005,2023,11.35,4.18,4.91,1.43,0.51
Zydrunas Ilgauskas,1998,2011,13.02,1.13,7.34,0.5,1.57
Mile Ilic,2007,2007,0,0,0.2,0,0
DJ Mbenga,2005,2011,Error,Error,Error,Error,Error
Ersan Ilyasova,2007,2021,10.14,1.1,5.65,0.68,0.36
Darrall Imhoff,1961,1972,7.19,1.75,7.61,0,0
Tom Ingelsby,1974,1976,3.23,1,1.29,0.44,0.07
Joe Ingles,2015,2023,8.55,3.72,3.24,0.91,0.15
Damien Inglis,2016,2016,1.8,0.5,1.55,0.3,0.15
Andre Ingram,2018,2019,4,1.17,1.33,0.67,0.5
Brandon Ingram,2017,2023,18.89,3.92,5.14,0.71,0.56
McCoy Ingram,1958,1958,2.79,0.83,4.83,0,0
Ervin Inniger,1968,1969,8.84,1.43,3.53,0,0
Byron Irvin,1990,1993,5.18,0.84,1.41,0.51,0.03
George Irvine,1971,1976,9.52,1.32,2.95,0.44,0.2
Kyrie Irving,2012,2023,23.4,5.72,3.93,1.31,0.42
Jonathan Isaac,2018,2023,9.01,1.03,5.34,1.08,1.43
Dan Issel,1971,1985,22.56,2.39,9.14,0.97,0.55
Mike Iuzzolino,1992,1993,8.98,4.28,1.95,0.67,0.06
Allen Iverson,1997,2010,26.66,6.15,3.71,2.17,0.18
Willie Iverson,1969,1969,4.86,2.86,1.64,0,0
Jaden Ivey,2023,2023,15.4,4.89,3.87,0.86,0.27
Royal Ivey,2005,2014,3.34,1.02,1.13,0.47,0.08
Elvin Ivory,1969,1969,4.4,0.45,3.3,0,0
Wes Iwundu,2018,2022,4.38,0.92,2.46,0.45,0.23
Warren Jabali,1969,1975,17.15,5.34,6.68,1.99,0.26
Jarrett Jack,2006,2018,10.78,4.56,2.87,0.79,0.12
Aaron Jackson,2018,2018,8,1,3,0,0
Al Jackson,1968,1968,0,0.5,0,0,0
Bobby Jackson,1998,2009,9.73,2.58,3.11,0.93,0.09
Cedric Jackson,2010,2010,1.67,1.17,0.67,0.25,0.17
Darnell Jackson,2009,2011,2.23,0.19,1.47,0.17,0.08
Demetrius Jackson,2017,2019,1.85,0.65,0.73,0.27,0.04
Frank Jackson,2019,2023,8.49,1.04,1.83,0.39,0.07
Greg Jackson,1975,1975,3.71,1.96,1.41,0.47,0.18
Isaiah Jackson,2022,2023,7.33,0.61,4.08,0.55,1.44
Jaren Jackson,1990,2002,5.5,1.16,1.82,0.6,0.12
Jaren Jackson Jr,2019,2023,16.12,1.12,5.45,0.9,2.07
Jermaine Jackson,2000,2006,1.94,1.36,1.07,0.31,0.07
Jim Jackson,1993,2006,14.34,3.22,4.69,0.82,0.21
Josh Jackson,2018,2022,11.26,1.84,3.98,0.86,0.58
Justin Jackson,2018,2023,6.03,1.03,2.35,0.34,0.15
Luke Jackson,1965,1972,9.9,1.57,8.84,0,0
Luke Jackson,2005,2008,3.45,0.79,1.22,0.33,0.04
Marc Jackson,2001,2007,8.37,0.8,4.28,0.38,0.26
Mark Jackson,1988,2004,9.64,7.97,3.83,1.24,0.09
Merv Jackson,1969,1973,11.57,3.1,3.28,0,0
Michael Jackson,1988,1990,2.11,2.22,0.79,0.31,0.06
Mike Jackson,1973,1976,10.16,0.96,5.7,0.5,0.27
Myron Jackson,1987,1987,1.38,0.75,0.38,0.12,0
Phil Jackson,1968,1980,6.73,1.11,4.28,0.62,0.44
Pierre Jackson,2017,2017,4.38,2.38,1.12,0.25,0
Quenton Jackson,2023,2023,1.67,0.33,0.33,0,0
Ralph Jackson,1985,1985,2,4,1,2,0
Randell Jackson,1999,2000,4.07,0.29,1.93,0.11,0.39
Reggie Jackson,2012,2023,12.84,4.23,2.95,0.69,0.12
Stanley Jackson,1994,1994,2.24,0.94,1.59,0.29,0
Stephen Jackson,2001,2014,15.12,3.07,3.88,1.29,0.37
Tony Jackson,1968,1969,15.87,2.02,5.37,0,0
Tony Jackson,1981,1981,1,1,1,1,0
